Date,Price
2025-12-26,96.48
2025-12-24,96.55
2025-12-23,96.5
2025-12-22,96.5
2025-12-19,96.9
2025-12-18,97.0
2025-12-17,96.5
2025-12-16,95.75
2025-12-15,96.05
2025-12-12,96.75
2025-12-11,96.5
2025-12-10,96.5
2025-12-09,96.95
2025-12-08,97.05
2025-12-05,97.25
2025-12-04,97.35
2025-12-03,98.95
2025-12-02,99.5
2025-12-01,97.75
2025-11-28,96.29
2025-11-26,96.15
2025-11-25,96.1
2025-11-24,95.95
2025-11-21,95.5
2025-11-20,96.5
2025-11-19,96.25
2025-11-18,96.25
2025-11-17,96.6
2025-11-14,96.35
2025-11-13,95.4
2025-11-12,95.6
2025-11-11,95.9
