geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
AT,2013-07-31,GJ1000-9999,0.0599,0.0405,0.0499,0.0405,0.009399999999999999,0.010000000000000002,0.0599
AT,2013-07-31,GJ10000-99999,0.0514,0.0345,0.0428,0.0345,0.008299999999999995,0.008600000000000003,0.0514
AT,2013-07-31,GJ100000-999999,0.0436,0.0282,0.0364,0.0282,0.008200000000000002,0.007199999999999998,0.0436
AT,2013-07-31,GJ1000000-3999999,0.0378,0.0252,0.0315,0.0252,0.0063,0.0063,0.0378
AT,2013-07-31,GJ_LT1000,0.0711,0.0497,0.0593,0.0497,0.009599999999999997,0.011799999999999998,0.0711
AT,2014-01-31,GJ1000-9999,0.0582,0.0407,0.0485,0.0407,0.007800000000000001,0.0097,0.0582
AT,2014-01-31,GJ10000-99999,0.0512,0.0339,0.0427,0.0339,0.008800000000000002,0.0085,0.0512
AT,2014-01-31,GJ100000-999999,0.0442,0.0288,0.0368,0.0288,0.008,0.007400000000000004,0.0442
AT,2014-01-31,GJ1000000-3999999,0.0407,0.0261,0.0339,0.0261,0.007799999999999998,0.0068000000000000005,0.0407
AT,2014-01-31,GJ_LT1000,0.0702,0.051,0.0585,0.051,0.007500000000000007,0.011699999999999995,0.0702
AT,2014-07-31,GJ1000-9999,0.0563,0.0402,0.0469,0.0402,0.006699999999999998,0.009400000000000006,0.0563
AT,2014-07-31,GJ10000-99999,0.0481,0.0334,0.0401,0.0334,0.006699999999999998,0.008,0.0481
AT,2014-07-31,GJ100000-999999,0.0407,0.026,0.0339,0.026,0.0079,0.0068000000000000005,0.0407
AT,2014-07-31,GJ1000000-3999999,0.0405,0.0275,0.0338,0.0275,0.006299999999999997,0.0067000000000000046,0.0405
AT,2014-07-31,GJ_LT1000,0.0679,0.0491,0.0566,0.0491,0.0075,0.011300000000000004,0.0679
AT,2015-01-31,GJ1000-9999,0.0553,0.0376,0.0461,0.0376,0.0085,0.0092,0.0553
AT,2015-01-31,GJ10000-99999,0.0475,0.0306,0.0396,0.0306,0.009000000000000005,0.007899999999999997,0.0475
AT,2015-01-31,GJ100000-999999,0.0412,0.0261,0.0343,0.0261,0.008199999999999995,0.006900000000000003,0.0412
AT,2015-01-31,GJ1000000-3999999,0.0422,0.0251,0.0351,0.0251,0.009999999999999998,0.007100000000000002,0.0422
AT,2015-01-31,GJ_LT1000,0.067,0.0482,0.0558,0.0482,0.007600000000000003,0.011200000000000002,0.067
AT,2015-07-31,GJ1000-9999,0.054,0.0375,0.0445,0.0375,0.006999999999999999,0.009500000000000001,0.054
AT,2015-07-31,GJ10000-99999,0.048,0.0295,0.0378,0.0295,0.008300000000000002,0.0102,0.048
AT,2015-07-31,GJ100000-999999,0.0409,0.0252,0.0324,0.0252,0.007199999999999998,0.0085,0.0409
AT,2015-07-31,GJ1000000-3999999,0.0439,0.022,0.0325,0.022,0.010500000000000002,0.0114,0.0439
AT,2015-07-31,GJ_LT1000,0.0653,0.0465,0.0536,0.0465,0.007100000000000002,0.011699999999999995,0.0653
AT,2016-01-31,GJ1000-9999,0.0521,0.0349,0.0434,0.0349,0.0085,0.0087,0.0521
AT,2016-01-31,GJ10000-99999,0.0429,0.0268,0.0358,0.0268,0.008999999999999998,0.007100000000000002,0.0429
AT,2016-01-31,GJ100000-999999,0.0357,0.0212,0.0297,0.0212,0.0085,0.006000000000000002,0.0357
AT,2016-01-31,GJ1000000-3999999,0.0325,0.0196,0.0275,0.0196,0.0079,0.005000000000000001,0.0325
AT,2016-01-31,GJ_LT1000,0.0643,0.0457,0.0535,0.0457,0.007800000000000001,0.010799999999999997,0.0643
AT,2016-07-31,GJ1000-9999,0.0511,0.0347,0.0418,0.0347,0.007099999999999995,0.009300000000000003,0.0511
AT,2016-07-31,GJ10000-99999,0.043,0.0274,0.0341,0.0274,0.006699999999999998,0.008899999999999998,0.043
AT,2016-07-31,GJ100000-999999,0.0364,0.0217,0.0284,0.0217,0.006700000000000001,0.008,0.0364
AT,2016-07-31,GJ1000000-3999999,0.0342,0.0203,0.0261,0.0203,0.005800000000000003,0.0081,0.0342
AT,2016-07-31,GJ_LT1000,0.0631,0.045,0.0521,0.045,0.007100000000000002,0.011000000000000003,0.0631
AT,2017-01-31,GJ1000-9999,0.0472,0.0328,0.0393,0.0328,0.006499999999999999,0.007899999999999997,0.0472
AT,2017-01-31,GJ10000-99999,0.0403,0.0267,0.0336,0.0267,0.006899999999999996,0.0067000000000000046,0.0403
AT,2017-01-31,GJ100000-999999,0.0332,0.0215,0.0276,0.0215,0.006100000000000001,0.005600000000000001,0.0332
AT,2017-01-31,GJ1000000-3999999,0.0307,0.0197,0.0256,0.0197,0.0059000000000000025,0.0051,0.0307
AT,2017-01-31,GJ_LT1000,0.0597,0.0428,0.0497,0.0428,0.006900000000000003,0.010000000000000002,0.0597
AT,2017-07-31,GJ1000-9999,0.0491,0.0345,0.0409,0.0345,0.006399999999999996,0.008199999999999999,0.0491
AT,2017-07-31,GJ10000-99999,0.0398,0.027,0.0332,0.027,0.006200000000000001,0.006600000000000002,0.0398
AT,2017-07-31,GJ100000-999999,0.0336,0.0221,0.028,0.0221,0.005899999999999999,0.005599999999999997,0.0336
AT,2017-07-31,GJ1000000-3999999,0.0308,0.0204,0.0256,0.0204,0.0052,0.0052,0.0308
AT,2017-07-31,GJ_LT1000,0.0618,0.0448,0.0515,0.0448,0.006699999999999998,0.010300000000000004,0.0618
AT,2018-01-31,GJ1000-9999,0.0474,0.033,0.0395,0.033,0.006499999999999999,0.007899999999999997,0.0474
AT,2018-01-31,GJ10000-99999,0.0389,0.0262,0.0324,0.0262,0.006199999999999997,0.006499999999999999,0.0389
AT,2018-01-31,GJ100000-999999,0.032,0.0207,0.0266,0.0207,0.005899999999999999,0.005400000000000002,0.032
AT,2018-01-31,GJ1000000-3999999,0.0279,0.0174,0.0232,0.0174,0.0058,0.004700000000000003,0.0279
AT,2018-01-31,GJ_GE4000000,0.0307,0.0209,0.0256,0.0209,0.004700000000000003,0.0051,0.0307
AT,2018-01-31,GJ_LT1000,0.0598,0.0433,0.0498,0.0433,0.006499999999999999,0.010000000000000002,0.0598
AT,2018-07-31,GJ1000-9999,0.0488,0.0342,0.0407,0.0342,0.006499999999999999,0.008100000000000003,0.0488
AT,2018-07-31,GJ10000-99999,0.0408,0.0277,0.034,0.0277,0.0063000000000000035,0.0068000000000000005,0.0408
AT,2018-07-31,GJ100000-999999,0.036,0.024,0.03,0.024,0.005999999999999998,0.005999999999999998,0.036
AT,2018-07-31,GJ1000000-3999999,0.035,0.0233,0.0292,0.0233,0.005899999999999999,0.005800000000000003,0.035
AT,2018-07-31,GJ_GE4000000,0.0328,0.0227,0.0274,0.0227,0.004699999999999999,0.005400000000000002,0.0328
AT,2018-07-31,GJ_LT1000,0.0606,0.0438,0.0505,0.0438,0.0067000000000000046,0.010099999999999998,0.0606
AT,2019-01-31,GJ1000-9999,0.0484,0.0339,0.0403,0.0339,0.006400000000000003,0.008099999999999996,0.0484
AT,2019-01-31,GJ10000-99999,0.0392,0.0265,0.0327,0.0265,0.006200000000000001,0.006499999999999999,0.0392
AT,2019-01-31,GJ100000-999999,0.0325,0.0212,0.0271,0.0212,0.005899999999999999,0.005400000000000002,0.0325
AT,2019-01-31,GJ1000000-3999999,0.0306,0.0196,0.0255,0.0196,0.005899999999999999,0.0051,0.0306
AT,2019-01-31,GJ_GE4000000,0.0284,0.0191,0.0237,0.0191,0.0046,0.004700000000000003,0.0284
AT,2019-01-31,GJ_LT1000,0.0587,0.0424,0.0489,0.0424,0.006499999999999999,0.009800000000000003,0.0587
AT,2019-07-31,GJ1000-9999,0.049,0.0344,0.0409,0.0344,0.006499999999999999,0.008100000000000003,0.049
AT,2019-07-31,GJ10000-99999,0.0372,0.0248,0.031,0.0248,0.006200000000000001,0.006199999999999997,0.0372
AT,2019-07-31,GJ100000-999999,0.0304,0.0193,0.0253,0.0193,0.005999999999999998,0.0051,0.0304
AT,2019-07-31,GJ1000000-3999999,0.0289,0.0182,0.0241,0.0182,0.005899999999999999,0.004799999999999999,0.0289
AT,2019-07-31,GJ_GE4000000,0.0202,0.0124,0.0168,0.0124,0.004399999999999999,0.0034000000000000002,0.0202
AT,2019-07-31,GJ_LT1000,0.0606,0.0438,0.0505,0.0438,0.0067000000000000046,0.010099999999999998,0.0606
AT,2020-01-31,GJ1000-9999,0.0466,0.0324,0.0388,0.0324,0.006400000000000003,0.007800000000000001,0.0466
AT,2020-01-31,GJ10000-99999,0.0365,0.0244,0.0304,0.0244,0.005999999999999998,0.006099999999999998,0.0365
AT,2020-01-31,GJ100000-999999,0.0279,0.0174,0.0233,0.0174,0.0059000000000000025,0.0046,0.0279
AT,2020-01-31,GJ1000000-3999999,0.0295,0.0187,0.0245,0.0187,0.0058,0.0049999999999999975,0.0295
AT,2020-01-31,GJ_GE4000000,0.0217,0.0136,0.0181,0.0136,0.004500000000000002,0.003599999999999999,0.0217
AT,2020-01-31,GJ_LT1000,0.0577,0.0416,0.0481,0.0416,0.006499999999999999,0.009600000000000004,0.0577
AT,2020-07-31,GJ1000-9999,0.047,0.0327,0.0391,0.0327,0.006400000000000003,0.007899999999999997,0.047
AT,2020-07-31,GJ10000-99999,0.0359,0.0239,0.0299,0.0239,0.005999999999999998,0.006000000000000002,0.0359
AT,2020-07-31,GJ100000-999999,0.0289,0.0181,0.0241,0.0181,0.005999999999999998,0.004799999999999999,0.0289
AT,2020-07-31,GJ1000000-3999999,0.0285,0.0179,0.0237,0.0179,0.0058,0.004800000000000002,0.0285
AT,2020-07-31,GJ_GE4000000,0.0233,0.0149,0.0195,0.0149,0.0046,0.0038000000000000013,0.0233
AT,2020-07-31,GJ_LT1000,0.0565,0.0405,0.047,0.0405,0.006499999999999999,0.009500000000000001,0.0565
AT,2021-01-31,GJ1000-9999,0.045,0.0311,0.0375,0.0311,0.0063999999999999994,0.0075,0.045
AT,2021-01-31,GJ10000-99999,0.0375,0.0251,0.0312,0.0251,0.006099999999999998,0.0063,0.0375
AT,2021-01-31,GJ100000-999999,0.0334,0.0219,0.0278,0.0219,0.005899999999999999,0.005600000000000001,0.0334
AT,2021-01-31,GJ1000000-3999999,0.0308,0.0198,0.0257,0.0198,0.005899999999999999,0.0051,0.0308
AT,2021-01-31,GJ_GE4000000,0.0303,0.0212,0.0253,0.0212,0.0040999999999999995,0.005000000000000001,0.0303
AT,2021-01-31,GJ_LT1000,0.0583,0.0422,0.0486,0.0422,0.006399999999999996,0.0097,0.0583
AT,2021-07-31,GJ1000-9999,0.052,0.0369,0.0433,0.0369,0.006399999999999996,0.0087,0.052
AT,2021-07-31,GJ10000-99999,0.0572,0.041,0.0476,0.041,0.006600000000000002,0.009599999999999997,0.0572
AT,2021-07-31,GJ100000-999999,0.0571,0.0411,0.0476,0.0411,0.006500000000000006,0.009499999999999995,0.0571
AT,2021-07-31,GJ1000000-3999999,0.0504,0.0361,0.042,0.0361,0.0059000000000000025,0.008399999999999998,0.0504
AT,2021-07-31,GJ_GE4000000,0.0639,0.0492,0.0532,0.0492,0.003999999999999997,0.010700000000000001,0.0639
AT,2021-07-31,GJ_LT1000,0.0656,0.0481,0.0547,0.0481,0.006600000000000002,0.010900000000000007,0.0656
AT,2021-07-31,TOT_GJ,0.0584,0.0431,0.0487,0.0431,0.005600000000000001,0.0097,0.0584
AT,2022-01-31,GJ1000-9999,0.0676,0.05,0.0563,0.05,0.0063,0.01129999999999999,0.0676
AT,2022-01-31,GJ10000-99999,0.0771,0.0584,0.0642,0.0584,0.005799999999999993,0.012900000000000009,0.0771
AT,2022-01-31,GJ100000-999999,0.0785,0.059,0.0654,0.059,0.006400000000000003,0.0131,0.0785
AT,2022-01-31,GJ1000000-3999999,0.0856,0.0661,0.0713,0.0661,0.005199999999999996,0.014299999999999993,0.0856
AT,2022-01-31,GJ_GE4000000,0.1059,0.0838,0.0882,0.0838,0.004400000000000001,0.017699999999999994,0.1059
AT,2022-01-31,GJ_LT1000,0.0709,0.0527,0.0591,0.0527,0.006400000000000003,0.011800000000000005,0.0709
AT,2022-01-31,TOT_GJ,0.0869,0.0669,0.0724,0.0669,0.005500000000000005,0.014499999999999999,0.0869
AT,2022-07-31,GJ1000-9999,0.0838,0.067,0.0699,0.067,0.0029,0.013899999999999996,0.0838
AT,2022-07-31,GJ10000-99999,0.1011,0.082,0.0842,0.082,0.0021999999999999936,0.0169,0.1011
AT,2022-07-31,GJ100000-999999,0.1048,0.0859,0.0873,0.0859,0.0013999999999999985,0.0175,0.1048
AT,2022-07-31,GJ1000000-3999999,0.121,0.0997,0.1009,0.0997,0.0012000000000000066,0.020099999999999993,0.121
AT,2022-07-31,GJ_GE4000000,0.1612,0.1338,0.1343,0.1338,0.0005000000000000004,0.026900000000000007,0.1612
AT,2022-07-31,GJ_LT1000,0.0935,0.0736,0.0779,0.0736,0.004299999999999998,0.015600000000000003,0.0935
AT,2022-07-31,TOT_GJ,0.1227,0.1008,0.1023,0.1008,0.0015000000000000013,0.0204,0.1227
AT,2023-01-31,GJ1000-9999,0.1199,0.0921,0.0999,0.0921,0.007800000000000001,0.020000000000000004,0.1199
AT,2023-01-31,GJ10000-99999,0.0937,0.0715,0.0784,0.0715,0.006900000000000003,0.015300000000000008,0.0937
AT,2023-01-31,GJ100000-999999,0.0704,0.0543,0.0593,0.0543,0.0049999999999999975,0.011100000000000006,0.0704
AT,2023-01-31,GJ1000000-3999999,0.0557,0.0457,0.0482,0.0457,0.0025000000000000022,0.0075,0.0557
AT,2023-01-31,GJ_GE4000000,0.0767,0.0616,0.0644,0.0616,0.002799999999999997,0.012300000000000005,0.0767
AT,2023-01-31,GJ_LT1000,0.1261,0.0969,0.1051,0.0969,0.008199999999999999,0.02099999999999999,0.1261
AT,2023-01-31,TOT_GJ,0.0814,0.0639,0.0684,0.0639,0.004500000000000004,0.012999999999999998,0.0814
AT,2023-07-31,GJ1000-9999,0.1056,0.088,0.088,0.088,0.0,0.017600000000000005,0.1056
AT,2023-07-31,GJ10000-99999,0.0736,0.0613,0.0613,0.0613,0.0,0.012299999999999998,0.0736
AT,2023-07-31,GJ100000-999999,0.0584,0.0437,0.0486,0.0437,0.004899999999999995,0.009800000000000003,0.0584
AT,2023-07-31,GJ1000000-3999999,0.0496,0.0389,0.0414,0.0389,0.0025000000000000022,0.008199999999999999,0.0496
AT,2023-07-31,GJ_GE4000000,0.0658,0.051,0.0549,0.051,0.0039000000000000007,0.0109,0.0658
AT,2023-07-31,GJ_LT1000,0.1366,0.1049,0.1138,0.1049,0.008900000000000005,0.0228,0.1366
AT,2023-07-31,TOT_GJ,0.071,0.0558,0.0591,0.0558,0.0032999999999999974,0.011899999999999994,0.071
AT,2024-01-31,GJ1000-9999,0.0887,0.0739,0.0739,0.0739,0.0,0.014800000000000008,0.0887
AT,2024-01-31,GJ10000-99999,0.062,0.0516,0.0516,0.0516,0.0,0.0104,0.062
AT,2024-01-31,GJ100000-999999,0.0545,0.0395,0.0454,0.0395,0.0059000000000000025,0.009099999999999997,0.0545
AT,2024-01-31,GJ1000000-3999999,0.0514,0.041,0.0428,0.041,0.001799999999999996,0.008600000000000003,0.0514
AT,2024-01-31,GJ_GE4000000,0.0494,0.0406,0.0412,0.0406,0.0006000000000000033,0.008199999999999999,0.0494
AT,2024-01-31,GJ_LT1000,0.1295,0.0977,0.1079,0.0977,0.0102,0.021600000000000008,0.1295
AT,2024-01-31,TOT_GJ,0.0617,0.0489,0.0515,0.0489,0.002599999999999998,0.0102,0.0617
AT,2024-07-31,GJ1000-9999,0.0886,0.0716,0.0738,0.0716,0.0022000000000000075,0.014799999999999994,0.0886
AT,2024-07-31,GJ10000-99999,0.0663,0.0537,0.0553,0.0537,0.0016000000000000042,0.010999999999999996,0.0663
AT,2024-07-31,GJ100000-999999,0.0547,0.0445,0.0456,0.0445,0.0011000000000000038,0.009099999999999997,0.0547
AT,2024-07-31,GJ1000000-3999999,0.0521,0.0425,0.0434,0.0425,0.000899999999999998,0.0087,0.0521
