Date,Price
2025-12-26,96.48
2025-12-24,96.55
2025-12-23,96.5
2025-12-22,96.5
2025-12-19,96.9
2025-12-18,97.0
2025-12-17,96.5
2025-12-16,95.75
2025-12-15,96.05
2025-12-12,96.75
2025-12-11,96.5
2025-12-10,96.5
2025-12-09,96.95
2025-12-08,97.05
2025-12-05,97.25
2025-12-04,97.35
2025-12-03,98.95
2025-12-02,99.5
2025-12-01,97.75
2025-11-28,96.29
2025-11-26,96.15
2025-11-25,96.1
2025-11-24,95.95
2025-11-21,95.5
2025-11-20,96.5
2025-11-19,96.25
2025-11-18,96.25
2025-11-17,96.6
2025-11-14,96.35
2025-11-13,95.4
2025-11-12,95.6
2025-11-11,95.9
2025-11-10,96.25
2025-11-07,96.9
2025-11-06,97.05
2025-11-05,97.2
2025-11-04,97.35
2025-11-03,96.1
2025-10-31,92.92
2025-10-30,93.0
2025-10-29,92.55
2025-10-28,92.5
2025-10-27,92.4
2025-10-24,92.4
2025-10-23,92.6
2025-10-22,92.05
2025-10-21,92.4
2025-10-20,92.65
2025-10-17,93.0
2025-10-16,93.0
2025-10-15,91.4
2025-10-14,89.25
2025-10-13,89.4
2025-10-10,89.65
2025-10-09,90.45
2025-10-08,90.5
2025-10-07,91.25
2025-10-06,91.5
2025-10-03,92.0
2025-10-02,92.2
2025-10-01,92.9
2025-09-30,93.75
2025-09-29,93.9
2025-09-26,92.95
2025-09-25,92.75
2025-09-24,93.0
2025-09-23,93.0
2025-09-22,93.0
2025-09-19,93.75
2025-09-18,94.15
2025-09-17,93.55
2025-09-16,93.35
2025-09-15,93.0
2025-09-12,93.0
2025-09-11,93.15
2025-09-10,93.0
2025-09-09,94.2
2025-09-08,94.6
2025-09-05,94.85
2025-09-04,95.75
2025-09-03,96.35
2025-09-02,96.7
2025-08-29,99.4
2025-08-28,99.55
2025-08-27,99.85
2025-08-26,100.4
2025-08-25,99.5
2025-08-22,99.9
2025-08-21,100.5
2025-08-20,100.6
2025-08-19,100.15
2025-08-18,99.5
2025-08-15,99.15
2025-08-14,99.65
2025-08-13,100.25
2025-08-12,100.3
2025-08-11,101.3
2025-08-08,101.0
2025-08-07,101.55
2025-08-06,102.2
2025-08-05,103.0
2025-08-04,103.15
2025-08-01,103.55
2025-07-31,104.05
2025-07-30,104.45
2025-07-29,104.85
2025-07-28,103.4
2025-07-25,104.41
2025-07-24,104.5
2025-07-23,104.65
2025-07-22,104.5
2025-07-21,104.15
2025-07-18,104.65
2025-07-17,104.65
2025-07-16,105.0
2025-07-15,104.9
2025-07-14,106.3
2025-07-11,108.85
2025-07-10,108.9
2025-07-09,108.0
2025-07-08,107.0
2025-07-07,106.2
2025-07-03,108.4
2025-07-02,108.85
2025-07-01,107.45
2025-06-30,107.5
2025-06-27,103.63
2025-06-26,103.65
2025-06-25,103.45
2025-06-24,103.35
2025-06-23,104.4
2025-06-20,103.9
2025-06-18,103.85
2025-06-17,104.1
2025-06-16,103.5
2025-06-13,103.25
2025-06-12,102.75
2025-06-11,102.2
2025-06-10,102.1
2025-06-09,103.35
2025-06-06,101.8
2025-06-05,100.6
2025-06-04,99.0
2025-06-03,97.15
2025-06-02,96.8
2025-05-30,95.61
2025-05-29,95.65
2025-05-28,95.6
2025-05-27,96.15
2025-05-23,96.15
2025-05-22,96.05
2025-05-21,95.7
2025-05-20,96.15
2025-05-19,95.25
2025-05-16,94.75
2025-05-15,95.0
2025-05-14,94.45
2025-05-13,95.95
2025-05-12,96.5
2025-05-09,96.05
2025-05-08,96.75
2025-05-07,97.25
2025-05-06,96.9
2025-05-05,94.6
2025-05-02,94.6
2025-05-01,94.15
2025-04-30,93.65
2025-04-29,93.1
2025-04-28,92.3
2025-04-25,102.4
2025-04-24,102.0
2025-04-23,103.0
2025-04-22,102.15
2025-04-21,103.0
2025-04-17,103.0
2025-04-16,103.35
2025-04-15,104.25
2025-04-14,103.8
2025-04-11,102.75
2025-04-10,102.5
2025-04-09,101.65
2025-04-08,103.0
2025-04-07,101.9
2025-04-04,99.9
2025-04-03,100.75
2025-04-02,103.3
2025-04-01,105.75
2025-03-31,103.9
2025-03-28,97.44
2025-03-27,97.85
2025-03-26,98.0
2025-03-25,97.4
2025-03-24,97.65
2025-03-21,97.9
2025-03-20,97.75
2025-03-19,98.3
2025-03-18,96.9
2025-03-17,97.25
2025-03-14,97.85
2025-03-13,97.9
2025-03-12,97.9
2025-03-11,99.1
2025-03-10,100.0
2025-03-07,97.5
2025-03-06,96.7
2025-03-05,96.9
2025-03-04,96.0
2025-03-03,96.6
2025-02-28,99.43
2025-02-27,99.75
2025-02-26,99.5
2025-02-25,99.75
2025-02-24,100.4
2025-02-21,99.75
2025-02-20,99.9
2025-02-19,100.4
2025-02-18,101.65
2025-02-14,101.25
2025-02-13,101.75
2025-02-12,103.15
2025-02-11,102.9
2025-02-10,104.5
2025-02-07,105.0
2025-02-06,106.35
2025-02-05,105.7
2025-02-04,105.75
2025-02-03,109.25
2025-01-31,110.38
2025-01-30,110.15
2025-01-29,110.15
2025-01-28,110.25
2025-01-27,109.4
2025-01-24,109.4
2025-01-23,109.5
2025-01-22,109.75
2025-01-21,111.25
2025-01-17,109.25
2025-01-16,107.9
