,Month,Min,Max
0,1,49.09,172.0
1,2,50.33,196.4
2,3,52.57,294.42
3,4,52.35,302.0
4,5,54.24,280.0
5,6,56.81,291.36
6,7,56.6,269.09
7,8,55.02,274.62
8,9,51.38,234.98
9,10,50.11,199.65
10,11,53.34,169.1
11,12,48.77,215.0
