,Month,Min,Max
0,1,3.63,28.26
1,2,2.91,27.23
2,3,2.72,42.39
3,4,2.12,32.2
4,5,1.58,29.17
5,6,1.75,33.56
6,7,1.8,51.33
7,8,2.86,70.04
8,9,3.95,59.1
9,10,4.89,39.02
10,11,4.84,35.72
11,12,4.62,38.03
