Date,Close
2025-11-03,31.741
2025-10-31,31.122
2025-10-30,31.372
2025-10-29,32.117
2025-10-28,31.494
2025-10-27,31.4
2025-10-24,32.016
2025-10-23,32.454
2025-10-22,31.768
2025-10-21,32.2
2025-10-20,31.739
2025-10-17,31.816
2025-10-16,32.378
2025-10-15,31.826
2025-10-14,31.801
2025-10-13,31.475
2025-10-10,32.17
2025-10-09,32.363
2025-10-08,32.7
2025-10-07,33.246
2025-10-06,33.116
2025-10-03,31.438
2025-10-02,31.455
2025-10-01,31.335
2025-09-30,31.411
2025-09-29,32.571
2025-09-26,33.135
2025-09-25,32.89
2025-09-24,31.903
2025-09-23,32.265
2025-09-22,31.844
2025-09-19,32.308
2025-09-18,32.952
2025-09-17,32.401
2025-09-16,32.329
2025-09-15,32.154
2025-09-12,32.662
2025-09-11,32.323
2025-09-10,33.122
2025-09-09,32.931
2025-09-08,33.064
2025-09-05,31.969
2025-09-04,32.412
2025-09-03,32.112
2025-09-02,31.772
2025-08-29,31.622
2025-08-28,31.559
2025-08-27,32.551
2025-08-26,33.46
2025-08-25,33.774
2025-08-22,33.573
2025-08-21,33.175
2025-08-20,31.906
2025-08-19,31.227
2025-08-18,31.272
2025-08-15,31.031
2025-08-14,32.141
2025-08-13,32.6
2025-08-12,32.409
2025-08-11,32.999
2025-08-08,32.446
2025-08-07,32.951
2025-08-06,33.257
2025-08-05,34.406
2025-08-04,34.283
2025-08-01,33.972
2025-07-31,35.279
2025-07-30,35.172
2025-07-29,34.734
2025-07-28,32.899
2025-07-25,32.499
2025-07-24,32.358
2025-07-23,32.69
2025-07-22,33.111
2025-07-21,33.159
2025-07-18,33.595
2025-07-17,34.407
2025-07-16,34.809
2025-07-15,34.445
2025-07-14,35.454
2025-07-11,35.561
2025-07-10,35.17
2025-07-09,34.304
2025-07-08,34.219
2025-07-07,33.621
2025-07-04,33.621
2025-07-03,33.621
2025-07-02,33.591
2025-07-01,33.693
2025-06-30,32.898
2025-06-27,33.656
2025-06-26,34.525
2025-06-25,35.859
2025-06-24,35.615
2025-06-23,40.522
2025-06-20,40.929
2025-06-19,38.693
2025-06-18,38.693
2025-06-17,39.309
2025-06-16,37.906
2025-06-13,37.894
2025-06-12,36.177
2025-06-11,35.913
2025-06-10,34.638
2025-06-09,35.605
2025-06-06,36.251
2025-06-05,36.393
2025-06-04,35.65
2025-06-03,35.848
2025-06-02,35.015
2025-05-30,34.228
2025-05-29,35.399
2025-05-28,36.687
2025-05-27,37.006
2025-05-26,36.45
2025-05-23,36.45
