geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
AT,2008-01-01,KWH1000-2499,0.2005,0.141,0.1671,0.141,0.026100000000000012,0.03340000000000001,0.2005
AT,2008-01-01,KWH2500-4999,0.1779,0.1271,0.1483,0.1271,0.021199999999999997,0.029600000000000015,0.1779
AT,2008-01-01,KWH5000-14999,0.1638,0.118,0.1365,0.118,0.018500000000000016,0.02729999999999999,0.1638
AT,2008-01-01,KWH_GE15000,0.1514,0.1095,0.1262,0.1095,0.016700000000000007,0.0252,0.1514
AT,2008-01-01,KWH_LT1000,0.265,0.1812,0.2208,0.1812,0.039599999999999996,0.04420000000000002,0.265
AT,2008-07-01,KWH1000-2499,0.2033,0.1432,0.1695,0.1432,0.026300000000000018,0.0338,0.2033
AT,2008-07-01,KWH2500-4999,0.1772,0.1268,0.1476,0.1268,0.020800000000000013,0.029599999999999987,0.1772
AT,2008-07-01,KWH5000-14999,0.1657,0.1196,0.1381,0.1196,0.018500000000000003,0.027599999999999986,0.1657
AT,2008-07-01,KWH_GE15000,0.1534,0.1112,0.1279,0.1112,0.01670000000000002,0.025499999999999995,0.1534
AT,2008-07-01,KWH_LT1000,0.2649,0.1812,0.2208,0.1812,0.039599999999999996,0.04410000000000003,0.2649
AT,2009-01-01,KWH1000-2499,0.2089,0.1475,0.174,0.1475,0.026499999999999996,0.034900000000000014,0.2089
AT,2009-01-01,KWH2500-4999,0.1909,0.138,0.159,0.138,0.02099999999999999,0.031899999999999984,0.1909
AT,2009-01-01,KWH5000-14999,0.1739,0.1263,0.1449,0.1263,0.018600000000000005,0.028999999999999998,0.1739
AT,2009-01-01,KWH_GE15000,0.1572,0.1143,0.131,0.1143,0.016700000000000007,0.0262,0.1572
AT,2009-01-01,KWH_LT1000,0.2727,0.1874,0.2272,0.1874,0.0398,0.045499999999999985,0.2727
AT,2009-07-01,KWH1000-2499,0.2101,0.1486,0.1751,0.1486,0.026499999999999996,0.035,0.2101
AT,2009-07-01,KWH2500-4999,0.1909,0.138,0.1591,0.138,0.02109999999999998,0.031799999999999995,0.1909
AT,2009-07-01,KWH5000-14999,0.1753,0.1274,0.1461,0.1274,0.018699999999999994,0.029200000000000004,0.1753
AT,2009-07-01,KWH_GE15000,0.1599,0.1164,0.1332,0.1164,0.01680000000000001,0.026699999999999974,0.1599
AT,2009-07-01,KWH_LT1000,0.2726,0.1874,0.2272,0.1874,0.0398,0.045399999999999996,0.2726
AT,2010-01-01,KWH1000-2499,0.2172,0.1543,0.181,0.1543,0.0267,0.03620000000000001,0.2172
AT,2010-01-01,KWH2500-4999,0.1967,0.1427,0.1639,0.1427,0.021199999999999997,0.032800000000000024,0.1967
AT,2010-01-01,KWH5000-14999,0.1774,0.1291,0.1478,0.1291,0.018699999999999994,0.029600000000000015,0.1774
AT,2010-01-01,KWH_GE15000,0.157,0.116,0.1308,0.116,0.014799999999999994,0.0262,0.157
AT,2010-01-01,KWH_LT1000,0.2538,0.1746,0.2115,0.1746,0.03689999999999999,0.04230000000000003,0.2538
AT,2010-07-01,KWH1000-2499,0.2115,0.1496,0.1763,0.1496,0.0267,0.03519999999999998,0.2115
AT,2010-07-01,KWH2500-4999,0.193,0.1396,0.1608,0.1396,0.021199999999999997,0.032200000000000006,0.193
AT,2010-07-01,KWH5000-14999,0.1753,0.1275,0.1462,0.1275,0.018699999999999994,0.029100000000000015,0.1753
AT,2010-07-01,KWH_GE15000,0.1466,0.1075,0.1223,0.1075,0.014800000000000008,0.024300000000000002,0.1466
AT,2010-07-01,KWH_LT1000,0.257,0.1772,0.2141,0.1772,0.036900000000000016,0.042899999999999994,0.257
AT,2011-01-01,KWH1000-2499,0.221,0.1574,0.1842,0.1574,0.02679999999999999,0.0368,0.221
AT,2011-01-01,KWH2500-4999,0.1986,0.1442,0.1655,0.1442,0.021300000000000013,0.03309999999999999,0.1986
AT,2011-01-01,KWH5000-14999,0.1805,0.1315,0.1504,0.1315,0.0189,0.030099999999999988,0.1805
AT,2011-01-01,KWH_GE15000,0.1631,0.1191,0.1359,0.1191,0.016799999999999995,0.027200000000000002,0.1631
AT,2011-01-01,KWH_LT1000,0.2946,0.2055,0.2455,0.2055,0.04000000000000001,0.04909999999999998,0.2946
AT,2011-07-01,KWH1000-2499,0.2201,0.1585,0.1834,0.1585,0.024900000000000005,0.03669999999999998,0.2201
AT,2011-07-01,KWH2500-4999,0.1965,0.1444,0.1638,0.1444,0.0194,0.03270000000000001,0.1965
AT,2011-07-01,KWH5000-14999,0.1781,0.1313,0.1484,0.1313,0.017100000000000004,0.029700000000000004,0.1781
AT,2011-07-01,KWH_GE15000,0.1611,0.1194,0.1343,0.1194,0.014899999999999997,0.02679999999999999,0.1611
AT,2011-07-01,KWH_LT1000,0.2918,0.205,0.2431,0.205,0.03810000000000002,0.04869999999999999,0.2918
AT,2012-01-01,KWH1000-2499,0.2221,0.1582,0.185,0.1582,0.02679999999999999,0.037099999999999994,0.2221
AT,2012-01-01,KWH2500-4999,0.1975,0.1433,0.1646,0.1433,0.021299999999999986,0.03290000000000001,0.1975
AT,2012-01-01,KWH5000-14999,0.1785,0.13,0.1487,0.13,0.018699999999999994,0.029799999999999993,0.1785
AT,2012-01-01,KWH_GE15000,0.1595,0.1166,0.1329,0.1166,0.016299999999999995,0.026600000000000013,0.1595
AT,2012-01-01,KWH_LT1000,0.2978,0.2075,0.2482,0.2075,0.040700000000000014,0.049600000000000005,0.2978
AT,2012-07-01,KWH1000-2499,0.2254,0.1556,0.1879,0.1556,0.03230000000000002,0.03749999999999998,0.2254
AT,2012-07-01,KWH2500-4999,0.2024,0.1412,0.1686,0.1412,0.027400000000000008,0.0338,0.2024
AT,2012-07-01,KWH5000-14999,0.1833,0.1275,0.1527,0.1275,0.0252,0.03059999999999999,0.1833
AT,2012-07-01,KWH_GE15000,0.1639,0.1139,0.1366,0.1139,0.022699999999999998,0.02729999999999999,0.1639
AT,2012-07-01,KWH_LT1000,0.2988,0.205,0.249,0.205,0.04400000000000001,0.04980000000000001,0.2988
AT,2013-01-01,KWH1000-2499,0.2364,0.1593,0.197,0.1593,0.03770000000000001,0.03939999999999999,0.2364
AT,2013-01-01,KWH2500-4999,0.2082,0.1413,0.1735,0.1413,0.03219999999999998,0.03470000000000001,0.2082
AT,2013-01-01,KWH5000-14999,0.1888,0.1275,0.1573,0.1275,0.029799999999999993,0.0315,0.1888
AT,2013-01-01,KWH_GE15000,0.1755,0.1183,0.1463,0.1183,0.02800000000000001,0.029199999999999976,0.1755
AT,2013-01-01,KWH_LT1000,0.3181,0.214,0.2651,0.214,0.051100000000000007,0.05299999999999999,0.3181
AT,2013-07-01,KWH1000-2499,0.2323,0.156,0.1936,0.156,0.037599999999999995,0.03870000000000001,0.2323
AT,2013-07-01,KWH2500-4999,0.2018,0.1361,0.1682,0.1361,0.03209999999999999,0.03360000000000002,0.2018
AT,2013-07-01,KWH5000-14999,0.185,0.1245,0.1542,0.1245,0.029700000000000004,0.030799999999999994,0.185
AT,2013-07-01,KWH_GE15000,0.1698,0.1143,0.1415,0.1143,0.027199999999999988,0.02830000000000002,0.1698
AT,2013-07-01,KWH_LT1000,0.3112,0.2083,0.2594,0.2083,0.051100000000000007,0.05179999999999996,0.3112
AT,2014-01-01,KWH1000-2499,0.2341,0.1528,0.1951,0.1528,0.042300000000000004,0.03900000000000001,0.2341
AT,2014-01-01,KWH2500-4999,0.2021,0.1321,0.1684,0.1321,0.0363,0.03370000000000001,0.2021
AT,2014-01-01,KWH5000-14999,0.1848,0.1203,0.154,0.1203,0.033699999999999994,0.030799999999999994,0.1848
AT,2014-01-01,KWH_GE15000,0.1613,0.105,0.1344,0.105,0.029399999999999996,0.026900000000000007,0.1613
AT,2014-01-01,KWH_LT1000,0.3175,0.2078,0.2646,0.2078,0.05679999999999999,0.0529,0.3175
AT,2014-07-01,KWH1000-2499,0.2311,0.1503,0.1926,0.1503,0.042300000000000004,0.038500000000000006,0.2311
AT,2014-07-01,KWH2500-4999,0.1987,0.1294,0.1656,0.1294,0.03620000000000001,0.03309999999999999,0.1987
AT,2014-07-01,KWH5000-14999,0.1815,0.1176,0.1513,0.1176,0.033699999999999994,0.030200000000000005,0.1815
AT,2014-07-01,KWH_GE15000,0.1572,0.1017,0.131,0.1017,0.029300000000000007,0.0262,0.1572
AT,2014-07-01,KWH_LT1000,0.3156,0.2062,0.263,0.2062,0.05680000000000002,0.05259999999999998,0.3156
AT,2015-01-01,KWH1000-2499,0.2419,0.1464,0.2016,0.1464,0.0552,0.0403,0.2419
AT,2015-01-01,KWH2500-4999,0.2009,0.1261,0.1674,0.1261,0.0413,0.0335,0.2009
