,geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
2931,PT,2018-01-01,KWH1000-2499,0.2624,0.11453333333333333,0.21333333333333335,0.11453333333333333,0.09880000000000001,0.049066666666666675,0.2624
2932,PT,2018-01-01,KWH2500-4999,0.2386,0.10696666666666665,0.19400000000000003,0.10696666666666665,0.08703333333333338,0.04459999999999997,0.2386
2933,PT,2018-01-01,KWH5000-14999,0.22776666666666667,0.10336666666666666,0.18516666666666667,0.10336666666666666,0.08180000000000001,0.0426,0.22776666666666667
2934,PT,2018-01-01,KWH_GE15000,0.21756666666666669,0.10186666666666666,0.17686666666666664,0.10186666666666666,0.07499999999999998,0.04070000000000004,0.21756666666666669
2935,PT,2018-01-01,KWH_LT1000,0.4331333333333333,0.16679999999999998,0.3521666666666667,0.16679999999999998,0.1853666666666667,0.08096666666666663,0.4331333333333333
2936,PT,2018-07-01,KWH1000-2499,0.26803333333333335,0.11696666666666666,0.21789999999999998,0.11696666666666666,0.10093333333333332,0.05013333333333336,0.26803333333333335
2937,PT,2018-07-01,KWH2500-4999,0.2436,0.1092,0.19803333333333337,0.1092,0.08883333333333336,0.045566666666666644,0.2436
2938,PT,2018-07-01,KWH5000-14999,0.2319,0.10526666666666666,0.18856666666666666,0.10526666666666666,0.0833,0.043333333333333335,0.2319
2939,PT,2018-07-01,KWH_GE15000,0.218,0.10210000000000001,0.17720000000000002,0.10210000000000001,0.07510000000000001,0.040799999999999975,0.218
2940,PT,2018-07-01,KWH_LT1000,0.4315333333333333,0.16616666666666668,0.3508,0.16616666666666668,0.18463333333333332,0.08073333333333332,0.4315333333333333
2941,PT,2019-01-01,KWH1000-2499,0.2526,0.13686666666666666,0.20536666666666667,0.13686666666666666,0.0685,0.04723333333333332,0.2526
2942,PT,2019-01-01,KWH2500-4999,0.22866666666666666,0.12560000000000002,0.18590000000000004,0.12560000000000002,0.06030000000000002,0.04276666666666662,0.22866666666666666
2943,PT,2019-01-01,KWH5000-14999,0.21716666666666665,0.11923333333333334,0.17653333333333335,0.11923333333333334,0.057300000000000004,0.0406333333333333,0.21716666666666665
2944,PT,2019-01-01,KWH_GE15000,0.20813333333333336,0.11443333333333333,0.16920000000000002,0.11443333333333333,0.054766666666666686,0.03893333333333335,0.20813333333333336
2945,PT,2019-01-01,KWH_LT1000,0.3998,0.20779999999999998,0.3252333333333333,0.20779999999999998,0.11743333333333333,0.07456666666666667,0.3998
2946,PT,2019-07-01,KWH1000-2499,0.2569666666666667,0.14070000000000002,0.21036666666666667,0.14070000000000002,0.06966666666666665,0.0466,0.2569666666666667
2947,PT,2019-07-01,KWH2500-4999,0.23196666666666665,0.12806666666666666,0.18910000000000002,0.12806666666666666,0.061033333333333356,0.042866666666666636,0.23196666666666665
2948,PT,2019-07-01,KWH5000-14999,0.21983333333333333,0.12113333333333333,0.17889999999999998,0.12113333333333333,0.05776666666666665,0.04093333333333335,0.21983333333333333
2949,PT,2019-07-01,KWH_GE15000,0.20823333333333335,0.1154,0.16943333333333332,0.1154,0.05403333333333332,0.03880000000000003,0.20823333333333335
2950,PT,2019-07-01,KWH_LT1000,0.40563333333333335,0.21323333333333336,0.3356666666666667,0.21323333333333336,0.12243333333333337,0.06996666666666662,0.40563333333333335
2951,PT,2020-01-01,KWH1000-2499,0.2476666666666667,0.1324,0.20323333333333335,0.1324,0.07083333333333336,0.04443333333333335,0.2476666666666667
2952,PT,2020-01-01,KWH2500-4999,0.22440000000000002,0.12056666666666667,0.18299999999999997,0.12056666666666667,0.0624333333333333,0.04140000000000005,0.22440000000000002
2953,PT,2020-01-01,KWH5000-14999,0.21336666666666668,0.1144,0.1737,0.1144,0.05929999999999999,0.03966666666666668,0.21336666666666668
2954,PT,2020-01-01,KWH_GE15000,0.2029,0.10880000000000001,0.165,0.10880000000000001,0.0562,0.03789999999999999,0.2029
2955,PT,2020-01-01,KWH_LT1000,0.40876666666666667,0.21423333333333336,0.34059999999999996,0.21423333333333336,0.1263666666666666,0.06816666666666671,0.40876666666666667
2956,PT,2020-07-01,KWH1000-2499,0.25043333333333334,0.13316666666666666,0.2061666666666667,0.13316666666666666,0.07300000000000004,0.04426666666666665,0.25043333333333334
2957,PT,2020-07-01,KWH2500-4999,0.22576666666666667,0.12043333333333334,0.1846,0.12043333333333334,0.06416666666666665,0.041166666666666685,0.22576666666666667
2958,PT,2020-07-01,KWH5000-14999,0.21336666666666668,0.11356666666666666,0.17400000000000002,0.11356666666666666,0.06043333333333335,0.03936666666666666,0.21336666666666668
2959,PT,2020-07-01,KWH_GE15000,0.20450000000000002,0.10953333333333333,0.1667,0.10953333333333333,0.05716666666666666,0.03780000000000003,0.20450000000000002
2960,PT,2020-07-01,KWH_LT1000,0.41333333333333333,0.21316666666666664,0.34453333333333336,0.21316666666666664,0.13136666666666671,0.06879999999999997,0.41333333333333333
2961,PT,2021-01-01,KWH1000-2499,0.2428,0.1341,0.20566666666666666,0.1341,0.07156666666666667,0.037133333333333324,0.2428
